Ticker,30YRWins,30YRLosses,25YRWins,25YRLosses,20YRWins,20YRLosses,15YRWins,15YRLosses,10YRWins,10YRLosses,5YRWins,5YRLosses,30YR_median,25YR_median,20YR_median,15YR_median,10YR_median,5YR_median,Sector,Country
DHR,24,0,27,2,31,3,35,4,40,4,42,7,20.45,19.7945,19.36,18.136,20.14,19.0475,Healthcare,USA
AAPL,14,0,19,0,20,4,20,9,23,11,28,11,19.2715,19.117,19.0505,21.419,22.3075,21.396,Technology,USA
SYK,15,0,20,0,25,0,30,0,35,0,36,4,19.023,18.3425,16.521,16.4665,21.081,18.374,Healthcare,USA
AMAT,22,0,27,0,31,1,33,4,33,9,27,20,18.222,17.683,19.657,19.879,19.925,16.03,Technology,USA
HEI,24,0,28,1,33,1,36,3,36,8,37,12,17.497,16.663,16.405,18.913,18.6915,17.292,Industrials,USA
NKE,14,0,19,0,24,0,29,0,33,1,31,8,17.490000000000002,17.044,16.288,15.718,17.909,14.508,Consumer Cyclical,USA
AFL,21,0,26,0,30,1,30,6,32,9,34,12,16.6,15.7325,17.463,17.5815,18.051,13.165,Financial,USA
PGR,22,0,27,0,32,0,37,0,38,4,36,11,16.5685,16.201,16.947,19.597,19.8525,19.986,Financial,USA
TJX,24,0,28,1,32,2,35,4,37,7,35,14,16.425,16.859,15.9665,16.493,17.1425,15.074,Consumer Cyclical,USA
LOW,22,0,27,0,31,1,32,5,37,5,32,15,16.3855,17.642,16.1095,13.668,15.43,17.948,Consumer Cyclical,USA
GGG,22,0,27,0,31,1,35,2,40,2,40,7,16.0955,16.602,15.641,15.304,14.5565,15.014,Industrials,USA
BRK_A,15,0,20,0,25,0,30,0,34,1,33,7,16.032,15.0805,12.957,12.4395,13.334,16.7515,Financial,USA
WMT,21,1,26,1,27,5,27,10,30,12,30,17,15.7195,14.109,14.291,12.923,15.24,13.636,Consumer Defensive,USA
MDT,22,0,24,3,28,4,28,9,29,13,29,18,15.6455,16.792,15.282,15.289,12.5135,12.804,Healthcare,Ireland
J,23,0,28,0,32,1,35,3,29,14,31,17,15.063,15.827,14.389,13.957,11.685,12.898,Industrials,USA
CHD,18,0,23,0,28,0,29,4,29,9,33,10,14.766,14.398,14.4995,14.964,16.619,16.504,Consumer Defensive,USA
BIO,14,0,19,0,23,1,26,3,26,8,29,10,14.6965,14.898,15.608,14.912,13.349,13.673,Healthcare,USA
INTC,21,1,24,3,24,8,24,13,27,15,28,19,14.6285,15.278,17.5215,16.058,12.8755,12.21,Technology,USA
ADI,22,0,27,0,30,2,32,5,29,13,33,14,14.5105,14.833,14.749,16.614,14.375,16.181,Technology,USA
DINO,24,0,28,1,29,5,28,11,31,13,27,22,14.510000000000002,14.305,16.2765,14.324,16.508,8.111,Energy,USA
MO,21,3,26,3,33,1,33,6,35,9,35,14,14.155,13.54,14.097,12.735,12.274,11.943,Consumer Defensive,USA
SHW,24,0,28,1,34,0,36,3,37,7,37,12,14.127,13.834,13.5645,12.993,15.8595,14.22,Basic Materials,USA
TTC,21,1,20,7,26,6,26,11,28,14,30,17,13.871,12.774,14.056,13.462,12.841,11.935,Industrials,USA
ITW,22,0,27,0,32,0,37,0,41,1,38,9,13.72,12.841,11.4585,13.362,14.125,14.32,Industrials,USA
TGT,24,0,29,0,33,1,34,5,29,15,33,16,13.517,12.8225,12.954,13.659,10.73,10.7555,Consumer Defensive,USA
TMO,22,0,26,1,30,2,33,4,32,10,38,9,13.447500000000002,12.454,12.906,14.356,15.0805,18.537,Healthcare,USA
EFX,23,0,28,0,33,0,36,2,40,3,34,14,13.319,12.1815,11.729,12.395,13.384,11.613,Industrials,USA
LEN,23,0,26,2,29,4,28,10,32,11,27,21,13.262,12.9165,12.097,11.47,15.887,17.0955,Consumer Cyclical,USA
ECL,21,1,23,4,25,7,29,8,29,13,30,17,13.0735,13.641,13.5485,12.451,11.3905,11.049,Basic Materials,USA
SWKS,18,6,22,7,24,10,30,9,29,15,29,20,12.9785,11.941,10.747,12.895,16.147,12.968,Technology,USA
SYY,22,1,28,0,29,4,30,8,33,10,29,19,12.871,12.8545,15.662,14.212,16.243,13.485,Consumer Defensive,USA
HRL,24,0,29,0,34,0,36,3,34,10,38,11,12.8485,11.878,12.4205,12.31,11.964,9.539,Consumer Defensive,USA
ADP,24,0,29,0,34,0,39,0,41,3,43,6,12.8305,12.411,11.704,12.327,13.9865,15.482,Industrials,USA
ABT,24,0,28,1,34,0,35,4,42,2,37,12,12.7845,13.177,12.127,12.489,12.8695,13.981,Healthcare,USA
PEP,21,3,26,3,31,3,33,6,32,12,30,19,12.7235,13.109,13.1795,9.031,8.489999999999998,8.87,Consumer Defensive,USA
MKC,22,0,25,2,31,1,33,4,32,10,33,14,12.7125,12.274,12.506,11.343,10.434,11.378,Consumer Defensive,USA
NUE,24,0,26,3,31,3,32,7,30,14,29,20,12.567,13.912,13.493,12.887,14.852,11.614,Basic Materials,USA
WRB,21,0,26,0,29,2,31,5,33,8,34,12,12.473,12.662,13.221,12.648,13.378,13.692,Financial,USA
NDSN,15,0,20,0,22,3,21,9,25,10,31,9,12.454,11.2445,11.793,13.495,13.676,15.695,Industrials,USA
MCD,24,0,29,0,34,0,37,2,38,6,32,17,12.242,12.683,12.337,11.648,12.09,13.382,Consumer Cyclical,USA
KLAC,14,0,18,1,24,0,23,6,24,10,28,11,12.0655,13.146,12.1745,12.509,12.506,16.543,Technology,USA
CSL,23,1,26,3,30,4,33,6,37,7,33,16,12.058,12.288,11.4925,12.303,13.325,12.393,Industrials,USA
CMCSA,22,0,27,0,30,2,37,0,33,9,28,19,12.0575,12.394,12.382,12.641,14.522,13.356,Communication Services,USA
HSY,24,0,29,0,34,0,35,4,37,7,32,17,12.038,10.508,11.186,12.029,12.1115,12.479,Consumer Defensive,USA
BALL,22,0,24,3,22,10,29,8,30,12,31,16,12.0275,12.033,10.8815,12.542,14.282,12.244,Consumer Cyclical,USA
BF_B,24,0,29,0,32,2,34,5,37,7,31,18,12.01,12.212,12.315,11.872,12.9695,11.203,Consumer Defensive,USA
GD,24,0,29,0,30,4,27,12,31,13,34,15,12.0005,11.647,11.728,11.348,11.979,12.846,Industrials,USA
